frequency_rank,headword,definition,part_of_speech,semantic_group
1,et,and,Conjunction,Conjunctions/Adverbs
2,sum esse fuī futūrum,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem",Verb: Irregular,Life and Being
3,quī quae quod,"who, which, what",Pronoun,Pronouns/Interrogatives
4,que,and (postpositive enclitic),Conjunction,Conjunctions/Adverbs
5,in,"in, on (+ abl.); into, onto (+ acc)",Preposition,Place
6,nōn,not,Adverb,Conjunctions/Adverbs
7,hic haec hoc,"this, these",Pronoun,Pronouns/Interrogatives
8,ille illa illud,that,Pronoun,Pronouns/Interrogatives
9,tū tuī tibi tē,you (sing.),Pronoun,Pronouns/Interrogatives
10,cum,"with (prep. + abl.); when, since, although (conjunction + subj.)",Preposition,Conjunctions/Adverbs
11,ego meī mihi mē,"I, me",Pronoun,Pronouns/Interrogatives
13,is ea id,"he, she, it",Pronoun,Pronouns/Interrogatives
14,ad,"to, up to, towards (+acc.)",Preposition,Place
15,"ut, utī","as (+ indic.); so that, with the result that (+ subj.); (in questions) in what manner, how; (exclam.) to what an extent! how!",Adverb,Conjunctions/Adverbs
16,sī,if,Conjunction,Conjunctions/Adverbs
17,sui sibi sē/sēsē,"him- her- itself, themselves",Pronoun,Pronouns/Interrogatives
18,omnis -e,"all, every, as a whole",Adjective: 3rd Declension,Measurement
19,nec,"and not, nor; nec ... nec, neither ... nor; → neque",Conjunction,Conjunctions/Adverbs
20,sed,but,Conjunction,Conjunctions/Adverbs
21,ā ab abs,"from, by (+abl.)",Preposition,Place
22,ipse ipsa ipsum,him- her- itself,Pronoun,Pronouns/Interrogatives
23,possum posse potuī,be able,Verb: Irregular,Making/Doing
24,aut,or,Conjunction,Conjunctions/Adverbs
25,māgnus -a -um,great,Adjective: 1st and 2nd Declension,Measurement
26,"ex, ē","out of, from (+ abl.)",Preposition,Place
27,suus -a -um,"his own, her own, its own",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
28,dō dare dedī datum,give,Verb: 1st Conjugation,Social Life
29,quam,how?; (after comparative) than,Adverb,Pronouns/Interrogatives
30,per,through (+acc.),Preposition,Place
31,videō vidēre vīdī vīsum,see,Verb: 2nd Conjugation,Vision
32,faciō facere fēcī factum,"do, make",Verb: 3rd Conjugation -iō,Making/Doing
33,dīcō dīcere dīxī dictum,"say; causam dīcere, plead a case; diem dīcere, appoint a day",Verb: 3rd Conjugation -ō,Speech/Oratory
34,iam,now; already,Adverb,Time
35,atque,"and in addition, and also, and; (after comparatives) than; simul atque, as soon as; → ac",Conjunction,Conjunctions/Adverbs
36,ac,"and in addition, and also, and; (after comparatives) than; simul ac, as soon as; → atque",Conjunction,Conjunctions/Adverbs
37,alius -a -ud,"other, another; ālias: at another time",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
38,rēs reī f.,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",Noun: 5th Declension,Life and Being
39,habeō habēre habuī habitum,"have, hold",Verb: 2nd Conjugation,Other Senses
40,animus -ī m.,"spirit, mind",Noun: 2nd Declension,Life and Being
41,meus -a -um,my,Pronoun,Pronouns/Interrogatives
42,deus -ī m.; dea -ae f.,god; goddess,Noun: 2nd Declension,Religion
43,multus -a -um,"much, many; multō, by far",Adjective: 1st and 2nd Declension,Measurement
44,tuus -a -um,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
45,ferō ferre tulī lātum,"bear, carry, endure",Verb: Irregular,Verbs of Transport
46,dē,"down from, about, concerning (+ abl.)",Preposition,Place
47,nē,"lest, that not",Conjunction,Conjunctions/Adverbs
48,manus -ūs f.,hand; band of men,Noun: 4th Declension,The Body
49,nūllus -a -um,"not any, no one",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives
50,nunc,now,Adverb,Time
51,nōs nostrum/nostrī nōbīs nōs,we,Pronoun,Pronouns/Interrogatives
52,noster nostra nostrum,our,Pronoun,Pronouns/Interrogatives
53,ūnus -a -um,one,Adjective: 1st and 2nd Declension,Measurement
54,diēs diēī m./f.,day,Noun: 5th Declension,Lengths of Time
55,"nihil, nīl",nothing; not at all,Noun: Indeclinable,Measurement
56,tum or tunc,then,Adverb,Time
57,enim,"for, indeed",Conjunction,Pronouns/Interrogatives
58,tamen,"nevertheless, still",Conjunction,Conjunctions/Adverbs
59,īdem eadem idem,the same,Pronoun,Pronouns/Interrogatives
60,rēx rēgis m.,king,Noun: 3rd Declension,The City
61,nam or namque,"for, indeed, really",Conjunction,Conjunctions/Adverbs
62,locus -ī m.,place; loca (n. pl.) region,Noun: 2nd Declension,Geography
63,veniō venīre vēnī ventum,come,Verb: 4th Conjugation,Motion
64,inter,"between, among; during (+ acc.)",Preposition,Place
65,pars partis f.,part,Noun: 3rd Declension,Measurement
66,volō velle voluī,"wish, be willing",Verb: Irregular,Emotions
67,etiam,"also, even",Adverb,Conjunctions/Adverbs
68,bonus -a -um,good,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics
69,agō agere ēgī āctum,"drive, do, act",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing
70,terra -ae f.,land,Noun: 1st Declension,Earth and Water
71,pater patris m.,"father, ancestor",Noun: 3rd Declension,The Household
72,neque,"and not, nor; neque ... neque, neither ... nor; → nec",Conjunction,Conjunctions/Adverbs
73,domus -ūs f.,"house, home",Noun: 4th Declension,The House
74,at,"but, but yet",Conjunction,Conjunctions/Adverbs
75,corpus corporis n.,body,Noun: 3rd Declension,The Body
76,quoque,"also, too",Conjunction,Conjunctions/Adverbs
77,aliquis -quae -quod,"some, any; si quis, si quid: anyone who, anything that",Pronoun,Pronouns/Interrogatives
78,tōtus -a -um,"whole, entire",Adjective: 1st and 2nd Declension,Measurement
79,sīc,"in this manner, thus; sīc ... ut: in the same way as",Adverb,Conjunctions/Adverbs
80,hīc,here; hinc: from here,Adverb,Place
81,iste ista istud,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there",Pronoun,Pronouns/Interrogatives
82,urbs urbis f.,city,Noun: 3rd Declension,The City
83,petō petere petīvī petītum,"seek, aim at",Verb: 3rd Conjugation -ō,Motion
84,iubeō iubēre iussī iussum,"bid, order",Verb: 2nd Conjugation,Justice
85,vir virī m.,man,Noun: 2nd Declension,People
